Date,Selina,Sub Category,Capacity,Out of Order,Available Beds,Sold Beds,Room Revenue USD,Food and Beverage Revenue,Activities Revenue,Co-Working Revenue,Average Guest Review
2017-12-02,Medellin,Dorm,215,20,195,89,1602.0,323.60400000000004,264.33,80.10000000000001,8.798
2017-12-02,Jaco,Private,42,1,41,18,642.6,227.4804,65.5452,17.3502,8.778
2017-12-02,Manuel Antonio,Dorm,116,2,114,84,1344.0,420.672,205.632,57.791999999999994,8.736
2017-12-02,Santa Teresa North,Dorm,140,1,139,91,1365.0,402.67499999999995,178.815,68.25,8.748
2017-12-02,Tamarindo,Private Shared,34,1,33,19,581.4,195.9318,68.0238,17.442,8.76
2017-12-02,Jaco,Dorm,118,3,115,59,944.0,311.52000000000004,96.288,19.824,8.787
2017-12-02,Manuel Antonio,Private,60,1,59,42,1499.4,449.82,236.9052,70.4718,8.754
2017-12-02,Antigua,Dorm,92,10,82,33,627.0,1.254,89.03399999999999,13.167000000000002,9.005
2017-12-02,La Fortuna,Private Shared,32,2,30,13,397.79999999999995,132.4674,43.36019999999999,11.138399999999999,8.796
2017-12-02,Tamarindo,Dorm,144,2,142,89,1424.0,449.984,170.88,39.872,8.777
2017-12-02,Venao,Private,12,1,11,9,264.6,91.55160000000001,63.768600000000006,30.164400000000004,8.706
2017-12-02,La Fortuna,Dorm,100,4,96,38,646.0,218.348,54.264,16.796,8.791
2017-12-02,Puerto Viejo,Dorm,66,2,64,36,576.0,185.472,62.784,27.648,8.78
2017-12-02,Puerto Viejo,Private,32,1,31,15,567.0000000000001,184.84200000000004,64.07100000000001,14.175000000000004,8.767
2017-12-02,Venao,Dorm,51,1,50,35,490.0,162.68,111.23,51.449999999999996,8.711
2017-12-02,Medellin,Private,88,9,79,40,1520.0,281.2,238.64000000000001,80.56,8.78
2017-12-02,Red Frog,Private,34,1,33,25,735.0,257.98499999999996,142.59,46.305,8.745
2017-12-02,Santa Teresa North,Private,22,1,21,15,535.5,167.076,69.61500000000001,21.9555,8.752
2017-12-02,San Jose,Private,40,1,39,31,1171.8000000000002,373.80420000000004,183.97260000000003,70.308,8.76
2017-12-02,Bocas del Toro,Private Shared,32,1,31,22,554.3999999999999,192.37679999999995,128.62079999999997,52.113599999999984,8.693
2017-12-02,Manuel Antonio,Private Shared,18,1,17,13,397.79999999999995,116.95319999999998,56.487599999999986,19.094399999999997,8.742
2017-12-02,Venao,Private Shared,34,0,34,24,604.8,214.70399999999998,131.8464,61.68959999999999,8.695
2017-12-02,Medellin,Private Shared,24,2,22,11,316.8,59.241600000000005,51.321600000000004,12.3552,8.788
2017-12-02,La Fortuna,Private,20,1,19,8,285.6,95.96160000000002,25.1328,5.712000000000001,8.801
2017-12-02,San Jose,Dorm,86,1,85,59,1003.0,302.906,142.426,43.129,8.744
2017-12-02,Puerto Viejo,Private Shared,40,1,39,22,673.1999999999999,226.86839999999998,71.35919999999999,26.927999999999997,8.784
2017-12-02,Tamarindo,Private,24,1,23,14,499.80000000000007,158.43660000000003,60.97560000000001,16.993200000000005,8.758
2017-12-02,Santa Teresa North,Private Shared,16,1,15,12,323.99999999999994,104.32799999999999,50.86799999999999,21.06,8.755
2017-12-02,Bocas del Toro,Private,44,1,43,31,1041.6000000000001,344.7696000000001,248.94240000000002,113.53440000000002,8.694
2017-12-02,Red Frog,Dorm,24,1,23,18,288.0,102.24,54.72,23.04,8.746
2017-12-02,San Jose,Private Shared,14,1,13,10,306.0,95.778,47.124,20.808,8.754
2017-12-02,Red Frog,Private Shared,14,1,13,10,288.0,102.52799999999999,57.6,23.04,8.756
2017-12-02,Pedasi,Dorm,8,1,7,6,84.0,27.804000000000002,18.984,9.156,8.703
2017-12-03,La Fortuna,Dorm,100,6,94,40,640.0,224.0,68.48,12.8,8.793
2017-12-03,Bocas del Toro,Dorm,154,1,153,111,1776.0,589.6320000000001,406.704,200.68800000000002,8.695
2017-12-03,Santa Teresa North,Dorm,140,2,138,97,1455.0,446.685,213.885,64.02,8.759
2017-12-03,Puerto Viejo,Dorm,66,1,65,35,595.0,193.97,68.425,15.469999999999999,8.78
2017-12-03,Tamarindo,Private,24,1,23,13,464.1,155.47350000000003,56.1561,15.315300000000002,8.776
2017-12-03,Manuel Antonio,Dorm,116,3,113,87,1392.0,412.032,222.72,65.424,8.747
2017-12-03,Medellin,Private,88,9,79,39,1482.0,290.47200000000004,235.638,37.050000000000004,8.776
2017-12-03,Medellin,Dorm,215,23,192,99,1881.0,361.152,306.603,75.24,8.779
2017-12-03,Puerto Viejo,Private Shared,40,1,39,19,547.1999999999999,181.6704,61.8336,25.171199999999995,8.782
2017-12-03,Antigua,Dorm,92,11,81,33,627.0,0.627,91.54199999999999,12.540000000000001,9.004
2017-12-03,Jaco,Private,42,1,41,21,705.6,242.02080000000004,79.73280000000001,33.1632,8.784
2017-12-03,Tamarindo,Dorm,144,2,142,88,1496.0,498.168,206.448,80.784,8.773
2017-12-03,San Jose,Dorm,86,2,84,60,1020.0,310.08,161.16,70.38000000000001,8.753
2017-12-03,Santa Teresa North,Private Shared,16,1,15,11,296.99999999999994,91.77299999999998,43.06499999999999,12.473999999999998,8.759
2017-12-03,Antigua,Private,34,5,29,14,523.6000000000001,3.141600000000001,74.3512,4.188800000000001,8.994
2017-12-03,Jaco,Dorm,118,0,118,58,928.0,310.88,90.944,24.128,8.779
2017-12-03,Manuel Antonio,Private,60,1,59,44,1663.2000000000003,517.2552000000001,264.44880000000006,76.50720000000001,8.753
2017-12-03,Medellin,Private Shared,24,3,21,12,345.6,71.8848,54.604800000000004,14.8608,8.787
2017-12-03,La Fortuna,Private Shared,32,1,31,14,428.4,146.9412,35.1288,10.71,8.81
2017-12-03,Tamarindo,Private Shared,34,1,33,20,576.0,192.38400000000001,64.512,21.311999999999998,8.774
2017-12-03,Puerto Viejo,Private,32,1,31,18,642.6,210.1302,78.3972,26.346600000000002,8.793
2017-12-03,Santa Teresa North,Private,22,1,21,14,441.0,131.418,60.417,25.578000000000003,8.75
2017-12-03,Venao,Dorm,51,1,50,37,555.0,185.37,119.88,51.615,8.688
2017-12-03,Red Frog,Dorm,24,1,23,18,270.0,95.30999999999999,47.519999999999996,15.66,8.735
2017-12-03,San Jose,Private Shared,14,1,13,10,288.0,86.976,43.199999999999996,16.704,8.747
2017-12-03,Bocas del Toro,Private Shared,32,1,31,22,554.3999999999999,186.27839999999998,124.18559999999997,54.88559999999999,8.704
2017-12-03,Red Frog,Private,34,1,33,23,772.8000000000001,276.6624,151.46880000000002,62.59680000000001,8.755
2017-12-03,Pedasi,Dorm,8,1,7,6,96.0,33.599999999999994,20.544,10.752,8.715
2017-12-03,Bocas del Toro,Private,44,1,43,33,1039.5,357.58799999999997,244.2825,107.0685,8.692
2017-12-03,La Fortuna,Private,20,1,19,9,283.5,97.24050000000001,23.247,10.4895,8.81
2017-12-03,San Jose,Private,40,1,39,28,999.6000000000001,314.874,154.93800000000002,54.97800000000001,8.746
2017-12-03,Manuel Antonio,Private Shared,18,1,17,14,453.59999999999997,136.53359999999998,71.2152,26.762399999999996,8.747
2017-12-03,Red Frog,Private Shared,14,1,13,10,288.0,97.92,56.736000000000004,22.464,8.757
2017-12-03,Venao,Private,12,1,11,9,264.6,88.9056,63.2394,29.370600000000003,8.697
2017-12-03,Pedasi,Private,16,1,15,12,352.8,117.83520000000001,77.9688,36.6912,8.7
2017-12-04,Tamarindo,Dorm,144,1,143,76,1368.0,428.184,176.472,49.248,8.768
2017-12-04,Santa Teresa North,Private Shared,16,1,15,11,316.79999999999995,94.40639999999998,49.10399999999999,18.057599999999997,8.768
2017-12-04,Santa Teresa North,Dorm,140,3,137,93,1395.0,436.635,198.08999999999997,71.145,8.746
2017-12-04,Medellin,Dorm,215,23,192,101,1818.0,345.42,272.7,89.08200000000001,8.773
2017-12-04,Bocas del Toro,Dorm,154,3,151,110,1650.0,556.0500000000001,377.85,171.6,8.709
2017-12-04,Manuel Antonio,Dorm,116,2,114,87,1566.0,499.55400000000003,233.334,100.224,8.749
2017-12-04,Bocas del Toro,Private Shared,32,1,31,25,629.9999999999999,207.89999999999998,139.85999999999999,75.59999999999998,8.71
2017-12-04,Jaco,Private,42,2,40,18,567.0,184.275,52.731,18.144000000000002,8.772
2017-12-04,Medellin,Private,88,10,78,39,1407.9,282.9879,214.0008,56.316,8.784
2017-12-04,Santa Teresa North,Private,22,1,21,16,571.2,185.0688,85.1088,31.987200000000005,8.767
2017-12-04,Red Frog,Private Shared,14,1,13,11,316.79999999999995,108.97919999999998,55.43999999999999,17.1072,8.744
2017-12-04,San Jose,Dorm,86,1,85,62,1054.0,313.038,149.66799999999998,63.239999999999995,8.759
2017-12-04,Tamarindo,Private Shared,34,1,33,21,604.8,196.56,76.80959999999999,30.24,8.782
2017-12-04,Antigua,Private,34,5,29,13,543.4000000000001,3.2604000000000006,80.42320000000001,11.9548,8.987
2017-12-04,La Fortuna,Dorm,100,5,95,38,608.0,201.24800000000002,66.272,9.12,8.799
2017-12-04,San Jose,Private,40,1,39,27,963.9000000000001,289.17,136.8738,44.339400000000005,8.738
2017-12-04,Puerto Viejo,Dorm,66,1,65,32,544.0,190.39999999999998,58.208,20.672,8.794
2017-12-04,Manuel Antonio,Private,60,2,58,41,1377.6000000000001,413.28000000000003,216.28320000000002,88.16640000000001,8.763
2017-12-04,Venao,Dorm,51,1,50,36,576.0,192.96,123.84,58.751999999999995,8.698
2017-12-04,Manuel Antonio,Private Shared,18,1,17,13,421.2,129.3084,68.6556,27.7992,8.754
2017-12-04,Antigua,Dorm,92,13,79,31,589.0,2.356,77.159,8.246,8.987
2017-12-04,La Fortuna,Private,20,1,19,8,268.8,94.6176,27.9552,4.300800000000001,8.785
2017-12-04,Pedasi,Dorm,8,1,7,6,96.0,34.08,21.216,9.600000000000001,8.709
2017-12-04,Red Frog,Dorm,24,1,23,18,270.0,94.77,50.76,17.01,8.762
2017-12-04,Bocas del Toro,Private,44,1,43,31,1041.6000000000001,370.80960000000005,234.36000000000004,114.57600000000002,8.708
2017-12-04,Jaco,Dorm,118,2,116,52,832.0,283.71200000000005,81.536,29.951999999999998,8.781
2017-12-04,Venao,Private,12,1,11,9,302.40000000000003,101.30400000000002,66.83040000000001,35.985600000000005,8.699
2017-12-04,Medellin,Private Shared,24,3,21,11,352.0,70.048,57.728,10.208,8.785
2017-12-04,Venao,Private Shared,34,1,33,24,691.1999999999999,235.6992,167.27039999999997,76.72319999999999,8.712
2017-12-04,Pedasi,Private,16,1,15,12,352.8,121.01040000000002,73.0296,32.4576,8.708
2017-12-04,Tamarindo,Private,24,1,23,15,535.5,179.3925,69.61500000000001,21.42,8.768
2017-12-04,Puerto Viejo,Private,32,1,31,16,537.6,187.6224,51.6096,17.7408,8.792
2017-12-04,La Fortuna,Private Shared,32,2,30,14,428.4,141.37199999999999,35.9856,9.8532,8.806
2017-12-04,Puerto Viejo,Private Shared,40,2,38,20,576.0,193.536,58.176,24.767999999999997,8.77
2017-12-04,San Jose,Private Shared,14,1,13,10,288.0,89.568,44.928,15.552,8.761
2017-12-04,Red Frog,Private,34,1,33,24,705.6,251.8992,138.29760000000002,52.92,8.757
2017-12-05,Santa Teresa North,Dorm,140,0,140,101,1616.0,481.568,247.248,64.64,8.766
2017-12-05,San Jose,Dorm,86,1,85,60,1020.0,303.96,154.01999999999998,70.38000000000001,8.737
2017-12-05,Bocas del Toro,Dorm,154,4,150,107,1498.0,516.81,328.062,155.792,8.693
2017-12-05,Medellin,Private,88,11,77,44,1588.4,297.0308,244.61360000000002,77.83160000000001,8.786
2017-12-05,Antigua,Dorm,92,12,80,36,684.0,9.576,102.6,12.312,8.987
2017-12-05,La Fortuna,Dorm,100,4,96,40,640.0,211.20000000000002,64.0,16.64,8.801
2017-12-05,Red Frog,Dorm,24,1,23,18,288.0,100.22399999999999,52.416,20.447999999999997,8.761
2017-12-05,Tamarindo,Dorm,144,2,142,81,1458.0,492.80400000000003,167.67000000000002,40.824,8.781
2017-12-05,Puerto Viejo,Private Shared,40,1,39,21,604.8,200.7936,58.6656,21.168,8.791
2017-12-05,Medellin,Dorm,215,20,195,88,1672.0,321.024,250.79999999999998,46.816,8.791
2017-12-05,Jaco,Dorm,118,0,118,51,867.0,306.051,97.104,19.941,8.775
2017-12-05,Puerto Viejo,Dorm,66,2,64,32,512.0,178.688,59.904,24.064,8.775
2017-12-05,Santa Teresa North,Private Shared,16,1,15,10,288.0,86.976,44.352,13.824,8.753
2017-12-05,Bocas del Toro,Private,44,1,43,30,945.0,337.365,209.79,90.72,8.694
2017-12-05,Santa Teresa North,Private,22,1,21,16,571.2,183.92640000000003,90.8208,21.7056,8.762
2017-12-05,San Jose,Private Shared,14,1,13,11,316.79999999999995,98.20799999999998,45.61919999999999,20.275199999999998,8.741
2017-12-05,La Fortuna,Private Shared,32,2,30,13,374.4,130.29119999999998,38.563199999999995,10.8576,8.807
2017-12-05,Manuel Antonio,Dorm,116,2,114,79,1264.0,384.256,203.50400000000002,72.048,8.738
2017-12-05,Tamarindo,Private Shared,34,1,33,20,576.0,193.536,64.512,24.767999999999997,8.756
2017-12-05,Red Frog,Private,34,1,33,24,705.6,237.0816,127.008,57.153600000000004,8.753
2017-12-05,Antigua,Private,34,5,29,14,523.6000000000001,9.424800000000001,82.72880000000002,14.137200000000004,8.985
2017-12-05,Tamarindo,Private,24,1,23,15,535.5,179.928,70.686,14.994,8.768
2017-12-05,Venao,Dorm,51,1,50,39,624.0,207.792,149.76,73.63199999999999,8.709
2017-12-05,Jaco,Private,42,1,41,21,705.6,238.49280000000002,69.14880000000001,14.8176,8.781
2017-12-05,Puerto Viejo,Private,32,1,31,15,567.0000000000001,191.07900000000006,62.37000000000001,28.917000000000005,8.766
2017-12-05,Bocas del Toro,Private Shared,32,1,31,22,633.5999999999999,209.088,136.224,76.03199999999998,8.697
2017-12-05,Manuel Antonio,Private,60,1,59,41,1549.8000000000002,472.689,215.42220000000003,89.88840000000002,8.761
2017-12-05,Pedasi,Dorm,8,1,7,6,84.0,29.147999999999996,18.396,7.644,8.697
2017-12-05,San Jose,Private,40,1,39,30,1071.0,313.803,163.863,47.123999999999995,8.74
2017-12-05,Venao,Private,12,1,11,9,264.6,93.6684,61.65180000000001,26.9892,8.702
2017-12-05,La Fortuna,Private,20,1,19,7,220.5,78.939,23.814,5.292,8.801
2017-12-05,Manuel Antonio,Private Shared,18,1,17,14,453.59999999999997,142.884,65.3184,18.144,8.74
2017-12-05,Pedasi,Private,16,1,15,11,369.6,131.5776,86.11680000000001,40.2864,8.719
2017-12-05,Red Frog,Private Shared,14,1,13,11,316.79999999999995,106.12799999999999,55.43999999999999,21.542399999999997,8.747
2017-12-05,Venao,Private Shared,34,1,33,25,629.9999999999999,219.23999999999995,144.89999999999998,74.96999999999998,8.686
2017-12-06,Bocas del Toro,Dorm,154,2,152,114,1710.0,574.5600000000001,400.14000000000004,188.1,8.687
2017-12-06,Antigua,Private,34,4,30,12,448.80000000000007,5.8344000000000005,68.2176,2.244,8.984
2017-12-06,Red Frog,Dorm,24,1,23,19,285.0,98.03999999999999,54.15,16.245,8.758
2017-12-06,Manuel Antonio,Private,60,2,58,41,1377.6000000000001,400.8816,196.9968,66.12480000000001,8.736
2017-12-06,Puerto Viejo,Dorm,66,1,65,30,510.0,171.87,49.47,21.93,8.78
2017-12-06,Bocas del Toro,Private Shared,32,1,31,22,633.5999999999999,209.72159999999997,137.4912,59.55839999999999,8.712
2017-12-06,Medellin,Private,88,8,80,38,1444.0,272.916,241.14800000000002,66.42399999999999,8.793
2017-12-06,Antigua,Dorm,92,12,80,34,578.0,4.046,82.654,16.762,9.007
2017-12-06,Medellin,Dorm,215,26,189,90,1710.0,328.32,300.96,68.4,8.78
2017-12-06,La Fortuna,Private,20,1,19,8,268.8,90.31680000000001,27.1488,11.289600000000002,8.804
2017-12-06,Jaco,Dorm,118,0,118,51,816.0,279.072,79.968,35.087999999999994,8.789
2017-12-06,Jaco,Private,42,1,41,20,714.0,237.762,63.546,19.992,8.777
2017-12-06,Puerto Viejo,Private,32,0,32,15,504.0,167.83200000000002,52.416,24.192,8.775
2017-12-06,San Jose,Dorm,86,2,84,61,1037.0,327.692,157.624,50.813,8.763
2017-12-06,Venao,Dorm,51,1,50,37,592.0,202.46400000000003,144.448,56.24,8.698
2017-12-06,Santa Teresa North,Dorm,140,2,138,87,1479.0,448.137,232.203,93.177,8.751
2017-12-06,Tamarindo,Private,24,1,23,15,504.0,165.816,69.552,23.184,8.755
2017-12-06,Puerto Viejo,Private Shared,40,1,39,21,604.8,203.8176,63.50399999999999,19.9584,8.785
2017-12-06,Tamarindo,Dorm,144,1,143,88,1496.0,489.192,204.95200000000003,56.848,8.776
2017-12-06,Bocas del Toro,Private,44,1,43,31,976.5,322.245,236.313,106.4385,8.689
2017-12-06,La Fortuna,Dorm,100,6,94,44,660.0,223.08,54.78,27.060000000000002,8.788
2017-12-06,Red Frog,Private Shared,14,1,13,10,251.99999999999994,89.20799999999997,49.895999999999994,19.655999999999995,8.764
2017-12-06,Manuel Antonio,Dorm,116,2,114,83,1494.0,455.67,230.076,79.182,8.735
2017-12-06,Pedasi,Private,16,1,15,12,378.0,127.76400000000001,87.696,33.263999999999996,8.699
2017-12-06,Tamarindo,Private Shared,34,1,33,19,547.1999999999999,171.8208,68.9472,30.643199999999997,8.777
2017-12-06,Santa Teresa North,Private,22,1,21,16,537.6,161.28,80.64,20.9664,8.764
2017-12-06,San Jose,Private,40,1,39,31,1106.7,327.5832,153.83130000000003,55.33500000000001,8.755
2017-12-06,Red Frog,Private,34,1,33,25,735.0,254.30999999999997,133.035,55.86,8.737
2017-12-06,Venao,Private,12,0,12,9,264.6,93.4038,63.504000000000005,27.783,8.711
2017-12-06,Santa Teresa North,Private Shared,16,1,15,11,316.79999999999995,95.03999999999998,46.569599999999994,16.473599999999998,8.763
2017-12-06,Pedasi,Dorm,8,1,7,6,84.0,29.063999999999997,18.06,9.156,8.714
2017-12-06,La Fortuna,Private Shared,32,2,30,12,367.2,124.4808,31.946399999999997,7.7112,8.79
2017-12-06,Venao,Private Shared,34,1,33,25,719.9999999999999,259.19999999999993,169.91999999999996,82.8,8.7
2017-12-06,Manuel Antonio,Private Shared,18,1,17,14,428.4,124.23599999999999,67.2588,28.7028,8.758
2017-12-06,Medellin,Private Shared,24,3,21,11,352.0,69.34400000000001,59.84,14.08,8.773
2017-12-06,San Jose,Private Shared,14,1,13,10,324.0,96.228,46.007999999999996,14.904,8.748
2017-12-07,Venao,Private Shared,34,1,33,26,655.1999999999999,230.63039999999995,143.4888,77.3136,8.707
2017-12-07,Bocas del Toro,Dorm,154,2,152,116,1856.0,618.048,408.32,187.45600000000002,8.713
2017-12-07,Medellin,Private,88,10,78,37,1335.7,279.1613,215.04770000000002,44.078100000000006,8.777
2017-12-07,Antigua,Dorm,92,12,80,32,608.0,3.04,85.12,10.943999999999999,8.995
2017-12-07,Manuel Antonio,Dorm,116,1,115,79,1264.0,376.67199999999997,204.768,54.352,8.742
2017-12-07,Santa Teresa North,Dorm,140,2,138,95,1425.0,440.325,225.15,92.625,8.765
2017-12-07,Venao,Dorm,51,1,50,37,592.0,212.528,138.52800000000002,56.24,8.703
2017-12-07,Tamarindo,Dorm,144,2,142,89,1602.0,498.222,193.84199999999998,52.866,8.76
2017-12-07,San Jose,Dorm,86,1,85,64,1088.0,340.544,180.608,64.192,8.752
2017-12-07,Jaco,Dorm,118,1,117,51,816.0,285.59999999999997,82.41600000000001,22.848,8.794
2017-12-07,San Jose,Private Shared,14,1,13,10,288.0,90.144,42.912,16.416,8.741
2017-12-07,Bocas del Toro,Private,44,1,43,30,945.0,316.57500000000005,206.955,91.665,8.699
2017-12-07,Venao,Private,12,1,11,9,264.6,94.19760000000001,61.65180000000001,25.666200000000003,8.704
2017-12-07,Medellin,Dorm,215,21,194,104,1872.0,355.68,278.928,74.88,8.799
2017-12-07,Manuel Antonio,Private Shared,18,1,17,12,367.2,114.19919999999999,57.2832,18.7272,8.743
2017-12-07,Santa Teresa North,Private Shared,16,1,15,12,367.2,112.73039999999999,52.50959999999999,18.36,8.753
2017-12-07,Santa Teresa North,Private,22,1,21,15,472.5,142.2225,65.67750000000001,21.735,8.75
2017-12-07,Jaco,Private,42,2,40,21,749.7,254.14830000000003,71.97120000000001,16.4934,8.793
2017-12-07,Red Frog,Dorm,24,1,23,18,270.0,90.45,50.76,15.120000000000001,8.758
2017-12-07,Puerto Viejo,Private Shared,40,1,39,22,712.8,240.9264,69.1416,24.948,8.789
2017-12-07,Puerto Viejo,Dorm,66,1,65,31,558.0,179.118,63.612,17.298,8.781
2017-12-07,Red Frog,Private Shared,14,1,13,10,251.99999999999994,87.19199999999998,46.36799999999999,15.875999999999996,8.738
2017-12-07,Puerto Viejo,Private,32,1,31,15,567.0000000000001,184.27500000000003,66.906,17.577,8.775
2017-12-07,Tamarindo,Private,24,1,23,14,499.80000000000007,159.4362,60.97560000000001,26.989200000000004,8.778
2017-12-07,Tamarindo,Private Shared,34,1,33,20,576.0,187.20000000000002,63.936,24.192,8.775
2017-12-07,Bocas del Toro,Private Shared,32,1,31,23,662.4,225.216,156.9888,78.16319999999999,8.714
2017-12-07,Medellin,Private Shared,24,3,21,12,364.8,72.5952,59.827200000000005,12.403200000000002,8.783
2017-12-07,La Fortuna,Dorm,100,6,94,41,656.0,232.224,70.848,20.336,8.784
2017-12-07,Antigua,Private,34,4,30,14,554.4,0.0,79.27919999999999,18.2952,9.0
2017-12-07,San Jose,Private,40,1,39,30,1008.0,292.32,145.152,44.352,8.76
2017-12-07,Manuel Antonio,Private,60,1,59,42,1499.4,437.8248,224.91,94.46220000000001,8.747
2017-12-07,Red Frog,Private,34,1,33,25,840.0,289.79999999999995,147.84,51.24,8.743
2017-12-07,La Fortuna,Private Shared,32,2,30,12,323.99999999999994,111.77999999999997,30.455999999999996,7.451999999999998,8.796
2017-12-07,Pedasi,Private,16,1,15,12,378.0,129.654,79.758,39.69,8.711
2017-12-07,Pedasi,Dorm,8,1,7,6,96.0,33.983999999999995,21.504,9.024000000000001,8.698
2017-12-07,La Fortuna,Private,20,2,18,9,302.40000000000003,105.53760000000001,27.518400000000003,6.350400000000001,8.793
2017-12-08,Puerto Viejo,Private Shared,40,1,39,19,615.6,209.30400000000003,66.4848,27.702,8.78
2017-12-08,Santa Teresa North,Dorm,140,1,139,90,1530.0,462.06,205.02,85.68,8.764
2017-12-08,Manuel Antonio,Dorm,116,1,115,83,1328.0,401.056,201.856,90.304,8.753
2017-12-08,Tamarindo,Dorm,144,1,143,89,1602.0,519.048,221.07600000000002,80.10000000000001,8.774
2017-12-08,Jaco,Dorm,118,3,115,51,867.0,281.77500000000003,90.16799999999999,30.345000000000002,8.788
2017-12-08,San Jose,Private Shared,14,1,13,11,336.59999999999997,102.32639999999999,48.806999999999995,19.1862,8.738
2017-12-08,Tamarindo,Private Shared,34,1,33,20,612.0,197.67600000000002,77.724,34.272,8.767
2017-12-08,Bocas del Toro,Private Shared,32,1,31,23,620.9999999999999,209.277,135.378,72.657,8.702
2017-12-08,Bocas del Toro,Dorm,154,1,153,118,1770.0,624.81,415.95,210.63,8.693
2017-12-08,Manuel Antonio,Private,60,2,58,41,1377.6000000000001,429.81120000000004,227.30400000000003,71.6352,8.764
2017-12-08,Jaco,Private,42,1,41,20,630.0,217.35,58.589999999999996,17.64,8.786
2017-12-08,Pedasi,Dorm,8,1,7,6,90.0,30.060000000000002,19.8,9.9,8.71
2017-12-08,Santa Teresa North,Private,22,1,21,16,504.0,152.208,75.096,27.72,8.757
